,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,#,STATE,,CAPTAIN,,PLAYER 1,,PLAYER 2,,PLAYER 3,,PLAYER 4,,PLAYER 5,
,1,,Virginia,,Rektygon,,t[-_-t],,Wixonater,,Failing,,rng_,,Mitatsh
,,,#85,,#6,,#87,,#90,,#157,,"#1,100",,"#7,068"
,2,,North California,,chezbananas,,WindowLife,,wudci,,Trail Mix,,Jakson,,Wispy
,,,#94,,#631,,#15,,#78,,#115,,#167,,"#2,120"
,3,,Florida,,Exarch,,DigitalHypno,,Cappy,,AlmightyDoor,,ramtin,,Arraxey
,,,#128,,#21,,#1,,#206,,#285,,#350,,"#1,149"
,4,,South California,,Mathyu,,ur cute,,Iugia,,EzChock,,[C],,ricoel
,,,#153,,#50,,#93,,#170,,#299,,#557,,"#1,517"
,5,,Carolina,,WillCookie,,RhythmicRS,,aba,,MegaMK,,zerkala,,yenator07
,,,#155,,#112,,#69,,#163,,#276,,"#1,402",,"#1,582"
,6,,Maryland,,BATBALL,,Monko2k,,Kama,,minus,,kodama,,costco hotdog
,,,#263,,"#1,053",,#3,,#293,,#375,,#379,,"#5,002"
,7,,Texas,,Woey,,dingleton,,LightsOut,,mniminwoo,,toybot,,Cuckweezy
,,,#275,,#381,,#95,,#182,,#440,,#822,,#925
,8,,New Jersey,,M I L E S,,ciru,,Sawada,,Gabey,,Dain,,YoshiLover456
,,,#333,,#260,,#19,,#44,,"#1,009",,"#1,762",,"#2,303"
,9,,Massachusetts,,ChillierPear,,sytho,,Tj7223,,josiee,,i also love uma,,Mini Gaunt
,,,#380,,#217,,#34,,#470,,#799,,"#2,519",,"#11,060"
,10,,Pennsylvania,,Uenpris,,Bunnylikemoney,,Danini,,Sunwraith,,Astrovia,,Lolzep
,,,#484,,#954,,#83,,#420,,#479,,"#1,014",,"#1,223"
,11,,New York,,tekkito,,Altrax,,rhythm game,,-Arko,,oPixay,,Twilight
,,,#522,,#19,,#517,,#716,,#837,,#876,,"#1,848"
,12,,Washington,,RMEfan,,Jacob3,,Dice,,Warpscon,,conradmittn,,EthantrixV2
,,,#763,,"#1,805",,#454,,#619,,#622,,"#1,356",,"#2,569"
,13,,Arizona,,Xractiv,,Mlaw,,Hagawobla,,REIGN OF FEAR,,Mejiro McQueen,,ordinary
,,,#993,,"#2,131",,#102,,#295,,"#1,444",,"#2,545",,"#2,635"
,14,,Ohio,,kablaze,,Talullah,,ShotgunApe,,Bread_Instead,,Alexc99xd,,HiddenDagger
,,,"#1,001",,#63,,#218,,#901,,"#2,822",,"#2,844",,"#5,052"
,15,,Tennessee,,Suicune3,,-Koda,,Firiiu,,Srr,,Dempsey,,Zetako
,,,"#1,341",,"#5,267",,#642,,#879,,#931,,"#2,910",,"#5,754"
,16,,Kanssouri,,Fangzy,,Flaro,,Sour_Sangoose,,Sympli,,1ncert,,"#846,553,767,646,068"
,,,"#1,384",,#379,,#20,,"#1,739",,"#3,396",,"#5,396",,"#7,934"
,17,,Georgia,,stacker,,razorfruit,,speedkittymeowm,,Shauns,,veryasian,,owoMaxx
,,,"#1,467",,#441,,#247,,"#1,212",,"#3,969",,"#4,880",,"#6,942"
,18,,Minnesota,,creepy reader,,- deston -,,Eaves,,Lilian,,Avias_,,Kirii-
,,,"#1,619",,#123,,#835,,"#2,350",,"#3,167",,"#5,656",,"#5,738"
,19,,Oregon,,BoshyMan741,,Kamykazi,,-Schwarts,,Tile,,-Tynamo,,_moop
,,,"#1,780",,#138,,"#1,204",,"#1,959",,"#3,817",,"#4,638",,"#5,003"
,20,,Colorado,,Crestive,,_WinRAWR,,Kurisu,,Justice,,Spoodermane,,GLORYHAM
,,,"#2,093",,#917,,"#1,670",,"#2,873",,"#2,910",,"#3,060",,"#14,435"
,21,,Oklahoma,,bazingasdead,,Made of Fire,,XD piranha,,Aezhin,,Phaisf,,Takasaki Yu
,,,"#2,315",,"#1,015",,"#1,388",,"#3,115",,"#3,741",,"#10,775",,"#14,946"
,22,,Alabama,,Juicy-,,SoraElohim,,-Solar-,,glyph nyan osu,,Frostcage,,ytk
,,,"#2,510",,"#1,841",,"#1,755",,"#2,444",,"#3,999",,"#9,030",,"#14,826"
,23,,Illinois,,KazakhstanTop1,,Shiviel,,cr00k,,petr,,BweedonMei,,Arkanjl
,,,"#2,690",,"#2,298",,"#2,573",,"#2,915",,"#2,973",,"#4,695",,"#6,685"
,24,,Michigan,,DarkScrap,,TrickyPugster,,Blendra,,Hogrider,,Umar,,Jhon
,,,"#2,699",,"#1,467",,#145,,"#3,810",,"#5,372",,"#7,131",,"#9,170"
,25,,Arkansas,,Pincus,,Exen,,Zycryve,,Yuyuko,,vYper2011,,[Vito]
,,,"#2,701",,#169,,"#2,443",,"#3,284",,"#4,907",,"#5,051",,"#12,238"
,26,,Louisiana,,Gingah,,James-,,Heimin,,codyszewski,,Flufph,,kikoyu
